Aircraft Type,Country,Type_of_Travellers,Route,Seat_Types,Seat Comfort,Date Flown,Cabin Staff Service,Ground Service,Food & Beverages,Wifi & Connectivity,Inflight Entertainment,Value For Money,Recommended
Boeing 787 / A320,Netherlands,Couple Leisure,Mexico City to Amsterdam via London,Business Class,4.00,23-Mar,5.00,4.00,5.00,4.30,5.00,5.00,yes
A320,United Kingdom,Business,Barcelona to London,Economy Class,3.00,23-Mar,3.00,3.00,3.00,1.00,1.00,1.00,no
A321,United Kingdom,Couple Leisure,London to Lanzarote,Economy Class,3.00,23-Mar,2.00,2.00,1.70,1.70,1.00,3.00,no
A320,United Kingdom,Couple Leisure,Marrakech to London Heathrow,Economy Class,1.00,23-Mar,1.00,1.00,1.00,1.00,1.00,1.00,no
A320,United Kingdom,Couple Leisure,London Heathrow to Marrakech,Economy Class,1.00,23-Mar,3.00,1.00,1.00,1.00,1.00,1.00,no
A320,United Kingdom,Family Leisure,London to Algiers,Economy Class,1.00,22-May,1.00,1.00,1.30,1.00,3.00,2.00,no
A320,Austria,Couple Leisure,Miami to Munich via London,Economy Class,3.00,23-Mar,1.00,1.00,3.00,2.00,4.00,1.00,yes
A320,United States,Business,New York to London,Economy Class,1.00,23-Mar,1.00,2.00,1.00,1.00,2.00,2.00,no
A321Neo,France,Couple Leisure,Cairo to London,Economy Class,1.00,23-Mar,4.00,4.00,1.00,1.00,1.00,2.00,no
Boeing 777,India,Solo Leisure,Mumbai to Nassau via London,Premium Economy,4.00,23-Mar,4.00,3.00,2.00,1.00,3.00,3.00,yes
A380,United States,Couple Leisure,Johannesburg to London,First Class,4.00,23-Mar,5.00,1.00,4.00,4.00,4.00,2.00,no
A320,United States,Solo Leisure,Munich to London Heathrow,Economy Class,3.00,23-Mar,3.00,1.00,1.70,1.30,2.70,1.00,no
A320,Netherlands,Couple Leisure,Amsterdam to London,Economy Class,1.00,23-Mar,2.30,1.00,2.00,1.00,1.00,1.00,no
A320,United Kingdom,Couple Leisure,Heathrow to Belfast City,Economy Class,3.00,23-Mar,3.00,1.00,3.00,1.30,2.70,1.00,no
A320,United Kingdom,Couple Leisure,Gatwick to Dubrovnik,Economy Class,1.00,23-Mar,3.00,5.00,2.00,1.30,2.70,5.00,yes
A320,United Kingdom,Business,London Heathrow to Amsterdam,Economy Class,2.00,23-Mar,1.00,1.00,1.00,1.00,2.00,1.00,no
A320,United Kingdom,Solo Leisure,Zagreb to London Heathrow,Economy Class,3.00,23-Mar,2.00,1.00,1.00,1.00,1.00,2.00,no
A320,United Kingdom,Couple Leisure,New York JFK to Heathrow,Premium Economy,1.00,23-Mar,2.00,3.00,2.00,1.30,2.00,1.00,no
A320,Ireland,Solo Leisure,Dublin to Orlando via Heathrow,Economy Class,1.00,22-Dec,1.00,1.00,1.00,1.00,1.00,1.00,no
A320,United Kingdom,Family Leisure,London Heathrow to Munich,Economy Class,1.00,23-Mar,1.00,1.00,1.00,1.00,1.00,1.00,no
A320,United Kingdom,Business,London to Dubai,Business Class,4.00,22-Dec,4.00,1.00,4.00,4.00,4.00,1.00,no
A320,United Kingdom,Solo Leisure,Geneva to London,Economy Class,2.00,23-Mar,3.00,1.00,3.00,1.30,3.70,2.00,no
A320,Australia,Family Leisure,Prague to London,Economy Class,1.00,22-Dec,2.30,1.00,2.00,1.00,1.00,1.00,no
A320,United Kingdom,Business,Heathrow to Glasgow,Economy Class,1.00,23-Mar,1.00,1.00,1.00,1.00,1.00,1.00,no
A321,United Kingdom,Business,London Heathrow to Arlanda Stockholm,Economy Class,5.00,23-Mar,5.00,5.00,2.00,5.00,4.70,5.00,yes
A320,United States,Couple Leisure,Portland to Tel Aviv via Heathrow,Business Class,1.00,23-Mar,2.30,1.30,2.00,1.00,1.70,1.00,no
A320,Australia,Solo Leisure,Heathrow to Milan Malpensa,Business Class,1.00,22-Apr,2.30,1.00,2.00,1.00,1.70,1.00,no
A320,United Kingdom,Solo Leisure,London to Los Angeles,Economy Class,1.00,23-Mar,2.00,3.00,1.00,1.00,1.00,1.00,no
Boeing 777 / A320,United States,Solo Leisure,New York to Istanbul via London,Economy Class,5.00,23-Mar,5.00,5.00,5.00,3.70,5.00,5.00,yes
A320,United Kingdom,Couple Leisure,London Heathrow to Las Vegas,Premium Economy,3.00,23-Mar,2.00,2.00,1.00,2.00,4.00,3.00,no
A321neo,Canada,Business,London to Cairo,Business Class,1.00,23-Jan,2.00,3.00,1.00,1.00,1.00,1.00,no
Boeing 787,United Kingdom,Solo Leisure,London Singapore ,Economy Class,3.00,23-Feb,5.00,5.00,5.00,3.70,4.00,4.00,yes
A380,Belgium,Business,London to Dubai,Business Class,2.00,23-Feb,3.00,4.00,2.00,3.00,3.00,3.00,yes
A320,Belgium,Business,Brussels to London,Business Class,2.00,23-Feb,4.00,4.00,4.00,2.70,2.00,4.00,yes
A320,United Kingdom,Family Leisure,Lyon to London,Economy Class,1.00,23-Feb,4.00,1.00,1.00,1.00,1.70,1.00,no
A320,United Kingdom,Family Leisure,London to Lyon,Economy Class,1.00,23-Feb,4.00,1.00,1.00,1.00,1.00,1.00,no
A320,United Arab Emirates,Couple Leisure,Faro to Gatwick ,Economy Class,2.00,23-Feb,2.00,5.00,1.00,1.00,1.00,2.00,no
A320,United Kingdom,Family Leisure,Oslo to London,Economy Class,3.00,23-Feb,3.00,2.00,1.00,1.30,3.00,3.00,no
A320,United Kingdom,Solo Leisure,London to Madrid,Economy Class,2.00,23-Feb,1.00,1.00,1.00,1.00,2.30,2.00,no
A320,United Kingdom,Couple Leisure,Islamabad to London,Economy Class,4.00,23-Feb,5.00,4.00,2.00,4.00,3.00,5.00,yes
A320,Canada,Couple Leisure,Edinburgh to London,Economy Class,3.00,23-Feb,2.00,1.00,1.30,2.00,2.00,1.00,no
Boeing 787-9,United Kingdom,Couple Leisure,Mexico City to London,Business Class,5.00,23-Feb,5.00,5.00,4.00,4.00,4.00,5.00,yes
A320,Spain,Solo Leisure,Palma to Gatwick,Economy Class,5.00,23-Jan,5.00,5.00,5.00,3.70,5.00,5.00,yes
A320,United Kingdom,Family Leisure,London to Madrid,Economy Class,5.00,23-Feb,5.00,5.00,5.00,3.70,5.00,5.00,yes
A320,United Kingdom,Business,London Heathrow to Glasgow,Economy Class,5.00,23-Jan,5.00,5.00,4.00,5.00,3.30,5.00,yes
